raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,atMile28,atMile29,atMile30,finished
148,11000,0,0,0,0,0,20,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,1380,170,670,1090,1200,4740
150,11000,0,0,0,0,0,20,90,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,1380,140,540,1010,1220,4990
152,11000,0,0,0,0,0,0,100,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,1290,160,530,880,1160,5260
154,11000,0,0,0,0,0,0,90,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,1310,190,490,840,1150,5500
156,11000,0,0,0,0,0,0,90,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,1320,140,390,840,1080,5790
158,11000,0,0,0,0,0,0,50,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,1320,90,300,760,1130,6030
160,11000,0,0,0,0,0,0,40,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,1300,130,280,680,1120,6200
162,11000,0,0,0,0,0,0,30,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,1240,170,260,650,930,6400
164,11000,0,0,0,0,0,0,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,1230,130,310,540,930,6620
166,11000,0,0,0,0,0,0,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1140,210,270,500,810,6840
168,11000,0,0,0,0,0,0,30,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,1070,220,260,470,750,7060
170,11000,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,1060,120,230,420,700,7350
172,11000,0,0,0,0,0,0,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,990,90,190,290,740,7530
174,11000,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,990,120,170,280,650,7670
176,11000,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,1090,90,170,260,620,7830
178,11000,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,1050,110,180,250,530,7990
180,11000,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,1010,130,180,220,490,8160
182,11000,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,960,110,100,270,470,8360
184,11000,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,960,100,100,240,420,8480
186,11000,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,980,100,90,210,370,8600
188,11000,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,930,130,70,200,270,8740
190,11000,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,820,160,70,180,250,8900
192,11000,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,820,80,70,170,240,9090
194,11000,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,750,120,70,150,230,9180
196,11000,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,660,140,60,150,230,9310
198,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,590,90,50,160,190,9480
200,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,540,80,40,90,250,9610
202,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,580,70,30,100,220,9710
204,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,560,50,30,90,190,9820
206,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,480,100,30,70,180,9880
208,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,450,50,30,70,160,9990
210,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,420,50,30,60,170,10040
212,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,450,10,30,60,150,10090
214,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,390,80,20,70,130,10100
216,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,370,60,20,50,140,10190
218,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,260,110,10,40,90,10260
220,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,260,50,0,40,90,10380
