Mile,Minute,Runners,Half
2,60,790,0
3,60,780,0
4,60,750,0
5,60,980,0
6,60,870,0
7,60,550,0
8,60,200,0
9,60,120,0
10,60,20,0
11,60,20,0
12,60,0,0
13,60,0,0
14,60,0,0
15,60,0,0
16,60,0,0
17,60,0,0
18,60,0,0
19,60,0,0
20,60,0,0
21,60,0,0
22,60,0,0
23,60,0,0
24,60,0,0
25,60,0,0
0,62,1470,580
1,62,10160,10160
2,62,850,260
3,62,960,0
4,62,630,0
5,62,960,0
6,62,900,0
7,62,590,0
8,62,280,0
9,62,150,0
10,62,20,0
11,62,20,0
12,62,10,0
13,62,0,0
14,62,0,0
15,62,0,0
16,62,0,0
17,62,0,0
18,62,0,0
19,62,0,0
20,62,0,0
21,62,0,0
22,62,0,0
23,62,0,0
24,62,0,0
25,62,0,0
0,64,1280,390
1,64,6260,6260
2,64,4720,4350
3,64,1100,0
4,64,530,0
5,64,910,0
6,64,900,0
7,64,670,0
8,64,390,0
9,64,140,0
10,64,70,0
11,64,10,0
12,64,20,0
13,64,0,0
14,64,0,0
15,64,0,0
16,64,0,0
17,64,0,0
18,64,0,0
19,64,0,0
20,64,0,0
21,64,0,0
22,64,0,0
23,64,0,0
24,64,0,0
25,64,0,0
0,66,1140,250
1,66,1920,1920
2,66,9050,8820
3,66,1120,10
4,66,500,0
5,66,860,0
6,66,930,0
7,66,750,0
8,66,410,0
9,66,190,0
10,66,90,0
11,66,20,0
12,66,10,0
13,66,10,0
14,66,0,0
15,66,0,0
16,66,0,0
17,66,0,0
18,66,0,0
19,66,0,0
20,66,0,0
21,66,0,0
22,66,0,0
23,66,0,0
24,66,0,0
25,66,0,0
0,68,1060,170
1,68,680,680
2,68,10000,9870
3,68,1310,280
4,68,590,0
5,68,750,0
6,68,930,0
7,68,780,0
8,68,500,0
9,68,220,0
10,68,130,0
11,68,20,0
12,68,20,0
13,68,10,0
14,68,0,0
15,68,0,0
16,68,0,0
17,68,0,0
18,68,0,0
19,68,0,0
20,68,0,0
21,68,0,0
22,68,0,0
23,68,0,0
24,68,0,0
25,68,0,0
0,70,970,80
1,70,610,610
2,70,7770,7700
3,70,3520,2610
4,70,690,0
5,70,710,0
6,70,870,0
7,70,830,0
8,70,530,0
9,70,290,0
10,70,140,0
11,70,40,0
12,70,10,0
13,70,20,0
14,70,0,0
15,70,0,0
16,70,0,0
17,70,0,0
18,70,0,0
19,70,0,0
20,70,0,0
21,70,0,0
22,70,0,0
23,70,0,0
24,70,0,0
25,70,0,0
0,72,880,0
1,72,0,0
2,72,520,480
3,72,3200,2540
4,72,2770,1860
5,72,2810,2210
6,72,2630,1830
7,72,1850,1000
8,72,600,0
9,72,370,0
10,72,160,0
11,72,80,0
12,72,20,0
13,72,10,0
14,72,10,0
15,72,0,0
16,72,0,0
17,72,0,0
18,72,0,0
19,72,0,0
20,72,0,0
21,72,0,0
22,72,0,0
23,72,0,0
24,72,40,40
25,72,0,0
0,74,880,0
1,74,0,0
2,74,280,250
3,74,2790,2290
4,74,3050,2090
5,74,2620,2050
6,74,2730,1910
7,74,1970,1130
8,74,690,0
9,74,370,0
10,74,170,0
11,74,110,0
12,74,20,0
13,74,20,0
14,74,10,0
15,74,0,0
16,74,0,0
17,74,0,0
18,74,0,0
19,74,0,0
20,74,0,0
21,74,0,0
22,74,0,0
23,74,0,0
24,74,70,70
25,74,0,0
0,76,880,0
1,76,0,0
2,76,180,150
3,76,2250,1880
4,76,3210,2230
5,76,2550,2050
6,76,2730,1910
7,76,2140,1290
8,76,690,0
9,76,460,0
10,76,200,0
11,76,140,0
12,76,40,0
13,76,10,0
14,76,20,0
15,76,0,0
16,76,0,0
17,76,0,0
18,76,0,0
19,76,0,0
20,76,0,0
21,76,0,0
22,76,0,0
23,76,0,0
24,76,100,100
25,76,10,10
0,78,880,0
1,78,0,0
2,78,110,110
3,78,1750,1520
4,78,3270,2290
5,78,2490,1880
6,78,2710,1970
7,78,2290,1490
8,78,770,0
9,78,450,0
10,78,280,0
11,78,140,0
12,78,70,0
13,78,20,0
14,78,10,0
15,78,10,0
16,78,0,0
17,78,0,0
18,78,0,0
19,78,0,0
20,78,0,0
21,78,0,0
22,78,0,0
23,78,0,0
24,78,130,130
25,78,20,20
0,80,880,0
1,80,0,0
2,80,80,80
3,80,1420,1260
4,80,3250,2340
5,80,2310,1690
6,80,2760,2070
7,80,2490,1650
8,80,710,0
9,80,540,0
10,80,330,0
11,80,160,0
12,80,100,0
13,80,20,0
14,80,20,0
15,80,10,0
16,80,0,0
17,80,0,0
18,80,0,0
19,80,0,0
20,80,0,0
21,80,0,0
22,80,0,0
23,80,0,0
24,80,120,120
25,80,70,70
0,82,880,0
1,82,0,0
2,82,70,70
3,82,1070,970
4,82,3020,2280
5,82,2570,1770
6,82,2620,2040
7,82,2480,1690
8,82,770,0
9,82,630,0
10,82,330,0
11,82,190,0
12,82,130,0
13,82,20,0
14,82,10,0
15,82,10,0
16,82,10,0
17,82,0,0
18,82,0,0
19,82,0,0
20,82,0,0
21,82,0,0
22,82,0,0
23,82,0,0
24,82,160,160
25,82,100,100
0,84,870,0
1,84,10,0
2,84,40,40
3,84,800,720
4,84,2780,2200
5,84,2720,1830
6,84,2560,2010
7,84,2490,1740
8,84,790,0
9,84,620,0
10,84,400,0
11,84,240,0
12,84,110,0
13,84,60,0
14,84,20,0
15,84,10,0
16,84,10,0
17,84,0,0
18,84,0,0
19,84,0,0
20,84,0,0
21,84,0,0
22,84,0,0
23,84,0,0
24,84,200,200
25,84,100,100
0,86,860,0
1,86,10,0
2,86,20,20
3,86,590,550
4,86,2410,1950
5,86,2880,1930
6,86,2430,1950
7,86,2640,1830
8,86,720,0
9,86,680,0
10,86,430,0
11,86,280,0
12,86,120,0
13,86,90,0
14,86,20,0
15,86,10,0
16,86,20,0
17,86,0,0
18,86,0,0
19,86,0,0
20,86,0,0
21,86,0,0
22,86,0,0
23,86,0,0
24,86,210,210
25,86,100,100
0,88,860,0
1,88,10,0
2,88,0,0
3,88,360,330
4,88,2100,1720
5,88,2970,2120
6,88,2360,1800
7,88,2550,1780
8,88,700,0
9,88,670,0
10,88,510,0
11,88,320,0
12,88,150,0
13,88,120,0
14,88,20,0
15,88,10,0
16,88,10,0
17,88,10,0
18,88,0,0
19,88,0,0
20,88,0,0
21,88,0,0
22,88,0,0
23,88,0,0
24,88,310,310
25,88,90,90
0,90,840,0
1,90,10,0
2,90,0,0
3,90,280,250
4,90,1680,1450
5,90,3080,2200
6,90,2330,1710
7,90,2470,1820
8,90,730,0
9,90,690,0
10,90,580,0
11,90,310,0
12,90,190,0
13,90,110,0
14,90,50,0
15,90,10,0
16,90,20,0
17,90,10,0
18,90,0,0
19,90,0,0
20,90,0,0
21,90,0,0
22,90,0,0
23,90,0,0
24,90,360,360
25,90,160,160
0,92,820,0
1,92,10,0
2,92,0,0
3,92,190,160
4,92,1450,1300
5,92,2940,2130
6,92,2280,1630
7,92,2580,1960
8,92,720,0
9,92,720,0
10,92,570,0
11,92,350,0
12,92,240,0
13,92,110,0
14,92,90,0
15,92,20,0
16,92,10,0
17,92,10,0
18,92,10,0
19,92,0,0
20,92,0,0
21,92,0,0
22,92,0,0
23,92,0,0
24,92,390,390
25,92,200,200
0,94,820,0
1,94,10,0
2,94,0,0
3,94,120,120
4,94,1230,1120
5,94,2720,2070
6,94,2460,1630
7,94,2510,1910
8,94,670,0
9,94,660,0
10,94,650,0
11,94,400,0
12,94,270,0
13,94,110,0
14,94,110,0
15,94,20,0
16,94,10,0
17,94,10,0
18,94,10,0
19,94,0,0
20,94,0,0
21,94,0,0
22,94,0,0
23,94,0,0
24,94,450,450
25,94,210,210
0,96,800,0
1,96,10,0
2,96,0,0
3,96,90,90
4,96,1030,950
5,96,2420,1890
6,96,2620,1760
7,96,2340,1810
8,96,730,0
9,96,690,0
10,96,590,0
11,96,460,0
12,96,310,0
13,96,140,0
14,96,120,0
15,96,30,0
16,96,10,0
17,96,20,0
18,96,10,0
19,96,0,0
20,96,0,0
21,96,0,0
22,96,0,0
23,96,0,0
24,96,430,430
25,96,280,280
0,98,800,0
1,98,10,0
2,98,0,0
3,98,80,80
4,98,790,710
5,98,2150,1740
6,98,2680,1810
7,98,2300,1810
8,98,740,0
9,98,690,0
10,98,590,0
11,98,550,0
12,98,290,0
13,98,190,0
14,98,90,0
15,98,70,0
16,98,20,0
17,98,10,0
18,98,10,0
19,98,10,0
20,98,0,0
21,98,0,0
22,98,0,0
23,98,0,0
24,98,490,490
25,98,340,340
0,100,800,0
1,100,10,0
2,100,0,0
3,100,70,70
4,100,580,540
5,100,1950,1590
6,100,2700,1880
7,100,2380,1780
8,100,600,0
9,100,710,0
10,100,630,0
11,100,530,0
12,100,330,0
13,100,230,0
14,100,120,0
15,100,90,0
16,100,20,0
17,100,10,0
18,100,10,0
19,100,10,0
20,100,0,0
21,100,0,0
22,100,0,0
23,100,0,0
24,100,540,540
25,100,370,370
0,102,780,0
1,102,10,0
2,102,0,0
3,102,60,60
4,102,410,380
5,102,1620,1350
6,102,2790,2030
7,102,2260,1610
8,102,570,0
9,102,690,0
10,102,660,0
11,102,540,0
12,102,380,0
13,102,250,0
14,102,140,0
15,102,100,0
16,102,30,0
17,102,10,0
18,102,20,0
19,102,10,0
20,102,0,0
21,102,0,0
22,102,0,0
23,102,0,0
24,102,640,640
25,102,390,390
0,104,780,0
1,104,10,0
2,104,0,0
3,104,30,30
4,104,310,280
5,104,1460,1270
6,104,2610,1910
7,104,2300,1600
8,104,580,0
9,104,670,0
10,104,620,0
11,104,580,0
12,104,410,0
13,104,290,0
14,104,140,0
15,104,90,0
16,104,60,0
17,104,20,0
18,104,10,0
19,104,10,0
20,104,10,0
21,104,0,0
22,104,0,0
23,104,0,0
24,104,730,730
25,104,420,420
0,106,770,0
1,106,10,0
2,106,0,0
3,106,20,20
4,106,220,190
5,106,1280,1160
6,106,2470,1910
7,106,2380,1570
8,106,530,0
9,106,680,0
10,106,600,0
11,106,590,0
12,106,500,0
13,106,280,0
14,106,160,0
15,106,110,0
16,106,90,0
17,106,20,0
18,106,10,0
19,106,10,0
20,106,10,0
21,106,0,0
22,106,0,0
23,106,0,0
24,106,740,740
25,106,440,440
0,108,760,0
1,108,10,0
2,108,0,0
3,108,0,0
4,108,180,170
5,108,1120,1030
6,108,2280,1780
7,108,2390,1610
8,108,540,0
9,108,670,0
10,108,660,0
11,108,550,0
12,108,540,0
13,108,280,0
14,108,230,0
15,108,90,0
16,108,120,0
17,108,10,0
18,108,10,0
19,108,10,0
20,108,10,0
21,108,10,0
22,108,0,0
23,108,0,0
24,108,720,720
25,108,490,490
0,110,750,0
1,110,10,0
2,110,0,0
3,110,0,0
4,110,120,120
5,110,1010,930
6,110,1970,1550
7,110,2420,1630
8,110,560,0
9,110,610,0
10,110,640,0
11,110,580,0
12,110,500,0
13,110,360,0
14,110,250,0
15,110,130,0
16,110,80,0
17,110,60,0
18,110,20,0
19,110,10,0
20,110,10,0
21,110,10,0
22,110,0,0
23,110,0,0
24,110,730,730
25,110,580,580
0,112,730,0
1,112,20,0
2,112,0,0
3,112,0,0
4,112,110,110
5,112,770,690
6,112,1800,1480
7,112,2470,1700
8,112,590,0
9,112,590,0
10,112,620,0
11,112,590,0
12,112,530,0
13,112,390,0
14,112,260,0
15,112,160,0
16,112,70,0
17,112,90,0
18,112,20,0
19,112,10,0
20,112,10,0
21,112,10,0
22,112,0,0
23,112,0,0
24,112,820,820
25,112,670,670
0,114,710,0
1,114,20,0
2,114,0,0
3,114,0,0
4,114,90,90
5,114,620,570
6,114,1530,1270
7,114,2570,1850
8,114,630,0
9,114,540,0
10,114,660,0
11,114,580,0
12,114,540,0
13,114,440,0
14,114,260,0
15,114,170,0
16,114,120,0
17,114,90,0
18,114,10,0
19,114,10,0
20,114,10,0
21,114,10,0
22,114,10,0
23,114,0,0
24,114,930,930
25,114,700,700
0,116,710,0
1,116,20,0
2,116,0,0
3,116,0,0
4,116,80,80
5,116,480,450
6,116,1380,1150
7,116,2430,1810
8,116,670,0
9,116,550,0
10,116,610,0
11,116,590,0
12,116,550,0
13,116,500,0
14,116,270,0
15,116,220,0
16,116,90,0
17,116,100,0
18,116,30,0
19,116,20,0
20,116,10,0
21,116,10,0
22,116,10,0
23,116,0,0
24,116,990,990
